'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
24,1,ORB,SIFT,BF,KNN,4.5375,30.3351,0.156843,102,57.2273,26.0881,67
24,2,ORB,SIFT,BF,KNN,4.88564,20.0713,0.171327,106,56.4948,25.9251,79
24,3,ORB,SIFT,BF,KNN,4.46571,22.1177,0.152687,113,55.1436,25.0955,78
24,4,ORB,SIFT,BF,KNN,4.42068,19.7157,0.157353,109,56.7442,25.013,79
24,5,ORB,SIFT,BF,KNN,4.53357,20.6069,0.164479,125,56.6367,24.4294,82
24,6,ORB,SIFT,BF,KNN,4.61483,20.7682,0.190029,130,56.7683,25.4243,95
24,7,ORB,SIFT,BF,KNN,4.88635,21.6889,0.185517,129,55.4296,24.7358,95
24,8,ORB,SIFT,BF,KNN,4.61449,22.2824,0.185728,127,54.6723,25.2603,94
24,9,ORB,SIFT,BF,KNN,4.68784,26.0259,0.422697,128,54.3886,23.6705,94
25,1,AKAZE,BRISK,BF,KNN,33.7572,1.32697,0.222229,157,7.4902,3.52456,137
25,2,AKAZE,BRISK,BF,KNN,32.897,1.30647,0.223508,161,7.45211,3.55275,125
25,3,AKAZE,BRISK,BF,KNN,32.4143,1.33842,0.203289,155,7.57522,3.45896,129
25,4,AKAZE,BRISK,BF,KNN,35.7514,1.52403,0.195076,163,7.73319,3.43779,129
25,5,AKAZE,BRISK,BF,KNN,36.4501,1.76839,0.209399,164,7.68803,3.37843,131
25,6,AKAZE,BRISK,BF,KNN,36.5399,1.49173,0.219098,173,7.73878,3.43237,132
25,7,AKAZE,BRISK,BF,KNN,32.7319,1.52862,0.216867,175,7.82612,3.50975,142
25,8,AKAZE,BRISK,BF,KNN,39.6639,1.45637,0.220658,177,7.81555,3.49352,146
25,9,AKAZE,BRISK,BF,KNN,31.4775,1.45689,0.239297,179,7.88575,3.60137,144
26,1,AKAZE,BRIEF,BF,KNN,32.3844,0.492741,0.176184,157,7.4902,3.52456,141
26,2,AKAZE,BRIEF,BF,KNN,31.6071,0.508591,0.197525,161,7.45211,3.55275,134
26,3,AKAZE,BRIEF,BF,KNN,32.6549,0.495667,0.174283,155,7.57522,3.45896,131
26,4,AKAZE,BRIEF,BF,KNN,33.2923,0.505088,0.173684,163,7.73319,3.43779,130
26,5,AKAZE,BRIEF,BF,KNN,32.7083,0.504674,0.177997,164,7.68803,3.37843,134
26,6,AKAZE,BRIEF,BF,KNN,32.5061,0.523964,0.185433,173,7.73878,3.43237,146
26,7,AKAZE,BRIEF,BF,KNN,31.8886,0.540578,0.189681,175,7.82612,3.50975,150
26,8,AKAZE,BRIEF,BF,KNN,32.6301,0.557069,0.202948,177,7.81555,3.49352,148
26,9,AKAZE,BRIEF,BF,KNN,32.8113,0.545806,0.191783,179,7.88575,3.60137,152
27,1,AKAZE,ORB,BF,KNN,32.7454,6.24105,0.182182,157,7.4902,3.52456,130
27,2,AKAZE,ORB,BF,KNN,32.5137,6.54091,0.175623,161,7.45211,3.55275,129
27,3,AKAZE,ORB,BF,KNN,32.459,6.14597,0.174315,155,7.57522,3.45896,128
27,4,AKAZE,ORB,BF,KNN,33.2171,6.48188,0.160033,163,7.73319,3.43779,115
27,5,AKAZE,ORB,BF,KNN,32.3063,6.05622,0.174211,164,7.68803,3.37843,132
27,6,AKAZE,ORB,BF,KNN,32.977,6.07463,0.189908,173,7.73878,3.43237,132
27,7,AKAZE,ORB,BF,KNN,32.1482,6.43989,0.189108,175,7.82612,3.50975,137
27,8,AKAZE,ORB,BF,KNN,32.5516,6.09917,0.186408,177,7.81555,3.49352,137
27,9,AKAZE,ORB,BF,KNN,33.3341,6.37221,0.19005,179,7.88575,3.60137,146
28,1,AKAZE,FREAK,BF,KNN,32.9436,28.7037,0.200244,157,7.4902,3.52456,126
28,2,AKAZE,FREAK,BF,KNN,32.6623,28.726,0.209668,161,7.45211,3.55275,129
28,3,AKAZE,FREAK,BF,KNN,32.2272,28.7101,0.192104,155,7.57522,3.45896,127
28,4,AKAZE,FREAK,BF,KNN,32.9618,28.7261,0.198525,163,7.73319,3.43779,121
28,5,AKAZE,FREAK,BF,KNN,33.4159,28.7521,0.193543,164,7.68803,3.37843,122
28,6,AKAZE,FREAK,BF,KNN,32.6506,28.7638,0.214659,173,7.73878,3.43237,133
28,7,AKAZE,FREAK,BF,KNN,32.7148,28.4496,0.520821,175,7.82612,3.50975,144
28,8,AKAZE,FREAK,BF,KNN,33.5939,28.9143,0.222159,177,7.81555,3.49352,147
28,9,AKAZE,FREAK,BF,KNN,33.2911,28.8158,0.216559,179,7.88575,3.60137,138
29,1,AKAZE,SIFT,BF,KNN,33.533,13.9714,0.151035,157,7.4902,3.52456,134
29,2,AKAZE,SIFT,BF,KNN,32.5301,13.7363,0.226089,161,7.45211,3.55275,134
29,3,AKAZE,SIFT,BF,KNN,34.3479,15.0393,0.211292,155,7.57522,3.45896,130
29,4,AKAZE,SIFT,BF,KNN,32.6297,13.6265,0.23455,163,7.73319,3.43779,136
29,5,AKAZE,SIFT,BF,KNN,33.1927,14.0805,0.220319,164,7.68803,3.37843,137
29,6,AKAZE,SIFT,BF,KNN,33.0574,14.0937,0.16019,173,7.73878,3.43237,147
29,7,AKAZE,SIFT,BF,KNN,32.2831,14.1488,0.357787,175,7.82612,3.50975,147
29,8,AKAZE,SIFT,BF,KNN,32.4145,13.8044,0.273198,177,7.81555,3.49352,154
29,9,AKAZE,SIFT,BF,KNN,35.1974,14.1677,0.24368,179,7.88575,3.60137,151
30,1,SIFT,BRISK,BF,KNN,75.171,1.16879,0.181456,132,5.08981,6.173,64
30,2,SIFT,BRISK,BF,KNN,74.7378,1.39817,0.167551,124,4.93926,6.02017,66
30,3,SIFT,BRISK,BF,KNN,73.8494,1.47801,0.166277,137,4.73123,5.24027,62
30,4,SIFT,BRISK,BF,KNN,76.1141,1.13073,0.182872,134,4.7196,5.51047,66
30,5,SIFT,BRISK,BF,KNN,73.9565,1.57783,0.193279,140,4.68398,5.57654,59
30,6,SIFT,BRISK,BF,KNN,75.5,1.55302,0.174135,137,5.40798,6.51365,64
30,7,SIFT,BRISK,BF,KNN,75.0472,1.27221,0.193182,148,4.62187,5.14347,64
30,8,SIFT,BRISK,BF,KNN,75.9598,1.71592,0.193454,159,5.51997,6.67003,67
30,9,SIFT,BRISK,BF,KNN,75.5421,1.44135,0.22873,137,5.6251,6.68117,80
31,1,SIFT,BRIEF,BF,KNN,74.015,0.441866,0.199678,132,5.08981,6.173,86
31,2,SIFT,BRIEF,BF,KNN,74.3876,0.736025,0.181495,124,4.93926,6.02017,78
31,3,SIFT,BRIEF,BF,KNN,73.8919,1.12948,0.183807,137,4.73123,5.24027,76
31,4,SIFT,BRIEF,BF,KNN,74.5057,0.493312,0.179867,134,4.7196,5.51047,85
31,5,SIFT,BRIEF,BF,KNN,74.4143,0.761966,0.18976,140,4.68398,5.57654,69
